 , ,Austria,Belgium,Croatia,Germany,Hungary,Netherlands,Slovenia,SMD,p
,,(N=859),"(N=1,461)",(N=352),"(N=4,547)",(N=665),"(N=1,406)",(N=103),NA,
status at listing,active,366 (43%),684 (47%),13 (4%),"1,722 (38%)",1 (0%),51 (4%),46 (45%),NA,<0.001
,inactive,493 (57%),777 (53%),339 (96%),"2,825 (62%)",664 (100%),"1,355 (96%)",57 (55%),NA,
type transplant,primary,721 (84%),"1,278 (88%)",328 (93%),"3,978 (88%)",609 (92%),"1,173 (83%)",88 (85%),NA,<0.001
,repeat,138 (16%),183 (12%),24 (7%),569 (12%),56 (8%),233 (17%),15 (15%),NA,
sex,Female,292 (34%),528 (36%),129 (37%),"1,682 (37%)",264 (40%),527 (38%),29 (28%),NA,0.160
,Male,567 (66%),933 (64%),223 (63%),"2,865 (63%)",401 (60%),879 (62%),74 (72%),NA,
age,0-17 years,22 (3%),35 (2%),7 (2%),252 (6%),28 (4%),15 (1%),3 (3%),NA,<0.001
,18-49 years,279 (32%),467 (32%),124 (35%),"1,617 (36%)",283 (43%),351 (25%),44 (43%),NA,
,50-64 years,376 (44%),616 (42%),155 (44%),"1,898 (42%)",270 (41%),562 (40%),35 (34%),NA,
,65+ years,182 (21%),343 (24%),66 (19%),780 (17%),84 (13%),478 (34%),21 (20%),NA,
ABO blood group,O,332 (39%),656 (45%),132 (38%),"1,730 (38%)",182 (27%),617 (44%),42 (41%),NA,<0.001
,A,365 (42%),583 (40%),130 (37%),"1,962 (43%)",303 (46%),522 (37%),44 (43%),NA,
,B,108 (13%),159 (11%),72 (20%),618 (14%),121 (18%),210 (15%),14 (14%),NA,
,AB,54 (6%),63 (4%),18 (5%),237 (5%),59 (9%),57 (4%),3 (3%),NA,
vPRA at listing,0%,675 (79%),"1,059 (72%)",221 (63%),"3,249 (72%)",510 (77%),"1,016 (72%)",72 (70%),NA,<0.001
,>0-84.9%,134 (16%),298 (20%),101 (29%),970 (21%),94 (14%),282 (20%),20 (19%),NA,
,85+%,50 (6%),104 (7%),30 (8%),328 (7%),61 (9%),108 (8%),11 (11%),NA,
dialysis status,on dialysis,803 (94%),"1,247 (85%)",327 (93%),"4,479 (98%)",586 (88%),"1,057 (75%)",96 (93%),NA,<0.001
,preemptive,56 (6%),214 (15%),25 (7%),68 (2%),79 (12%),349 (25%),7 (7%),NA,
dialysis time at listing,Mean [Q1-Q3],1.7 [0.5-2.3],1.3 [0.0-1.7],1.6 [0.4-2.4],2.4 [0.8-3.0],1.2 [0.1-1.5],1.0 [0.0-1.1],2.4 [0.7-2.9],NA,<0.001
