 , ,Austria,Belgium,Croatia,Germany,Hungary,Netherlands,Slovenia,SMD,p
,,(N=610),"(N=1,160)",(N=514),"(N=2,927)",(N=406),(N=672),(N=128),,
sex,F,292 (48%),496 (43%),241 (47%),"1,375 (47%)",180 (44%),327 (49%),53 (41%),"c(0.103, 0.02, 0.018, 0.071, 0.016, 0.13)",0.109
,M,318 (52%),664 (57%),273 (53%),"1,552 (53%)",226 (56%),345 (51%),75 (59%),,
age (years),Mean [Q1-Q3],51 [41-63],52 [40-65],58 [49-71],52 [41-66],46 [36-59],50 [42-61],55 [44-70],"c(0.071, 0.431, 0.086, 0.277, 0.049, 0.231)",<0.001
type,heartbeating,604 (99%),854 (74%),514 (100%),"2,927 (100%)",406 (100%),425 (63%),128 (100%),"c(0.795, 0.141, 0.141, 0.141, 1.028, 0.141)",<0.001
,non-heartbeating,6 (1%),306 (26%),0 (0%),0 (0%),0 (0%),247 (37%),0 (0%),,
death cause,Anoxia,69 (11%),312 (27%),22 (4%),482 (16%),32 (8%),126 (19%),9 (7%),"c(0.5, 0.325, 0.22, 0.15, 0.26, 0.492)",<0.001
,CVA,398 (65%),515 (44%),401 (78%),"1,772 (60%)",291 (72%),372 (55%),60 (47%),,
,Head trauma,130 (21%),272 (23%),84 (16%),533 (18%),76 (19%),146 (22%),54 (42%),,
,Other,13 (2%),61 (5%),7 (1%),140 (5%),7 (2%),28 (4%),5 (4%),,
marginal,no,553 (91%),"1,062 (92%)",436 (85%),"2,566 (88%)",379 (93%),628 (94%),108 (84%),"c(0.031, 0.178, 0.096, 0.099, 0.104, 0.191)",<0.001
,yes,57 (9%),98 (8%),78 (15%),361 (12%),27 (7%),44 (6%),20 (16%),,
ET-DRI,Mean [Q1-Q3],1.44 [1.19-1.68],1.61 [1.23-1.88],1.56 [1.33-1.82],1.46 [1.19-1.72],1.41 [1.14-1.64],1.62 [1.35-1.86],1.46 [1.17-1.74],"c(0.412, 0.377, 0.058, 0.089, 0.499, 0.055)",<0.001
